Filename,WordNum,WordID,Syllable_01,Syllable_02,Syllable_03
SEQ_01.wav,1,BI_GU_KI,BI,KU,GI
SEQ_01.wav,2,GU-BI-LE,GU,BI,LE
SEQ_01.wav,3,LO_DO_GI,LO,DO,GI
SEQ_01.wav,4,MO_DA_NE,MO,DA,NE
SEQ_01.wav,5,GU-BI-LE,GU,BI,LE
SEQ_01.wav,6,LE_KI_BI,LE,KI,BI
SEQ_01.wav,7,BA_TE_KU,BA,TE,KU
SEQ_01.wav,8,BI_GU_KI,BI,KU,GI
SEQ_01.wav,9,KI_LE_GU,KI,LE,GU
SEQ_01.wav,10,MO_DA_NE,MO,DA,NE
SEQ_01.wav,11,KI_LE_GU,KI,LE,GU
SEQ_01.wav,12,LO_DO_GI,LO,DO,GI
SEQ_01.wav,13,BA_TE_KU,BA,TE,KU
SEQ_01.wav,14,GU-BI-LE,GU,BI,LE
SEQ_01.wav,15,LE_KI_BI,LE,KI,BI
SEQ_01.wav,16,LO_DO_GI,LO,DO,GI
SEQ_01.wav,17,MO_DA_NE,MO,DA,NE
SEQ_01.wav,18,LO_DO_GI,LO,DO,GI
SEQ_01.wav,19,LE_KI_BI,LE,KI,BI
SEQ_01.wav,20,MO_DA_NE,MO,DA,NE
SEQ_01.wav,21,LO_DO_GI,LO,DO,GI
SEQ_01.wav,22,BA_TE_KU,BA,TE,KU
SEQ_01.wav,23,GU-BI-LE,GU,BI,LE
SEQ_01.wav,24,LO_DO_GI,LO,DO,GI
SEQ_01.wav,25,BI_GU_KI,BI,KU,GI
SEQ_01.wav,26,LO_DO_GI,LO,DO,GI
SEQ_01.wav,27,BA_TE_KU,BA,TE,KU
SEQ_01.wav,28,MU_NA_TU,MU,NA,TU
SEQ_01.wav,29,MO_DA_NE,MO,DA,NE
SEQ_01.wav,30,LO_DO_GI,LO,DO,GI
SEQ_01.wav,31,BI_GU_KI,BI,KU,GI
SEQ_01.wav,32,MO_DA_NE,MO,DA,NE
SEQ_01.wav,33,BA_TE_KU,BA,TE,KU
SEQ_01.wav,34,LO_DO_GI,LO,DO,GI
SEQ_01.wav,35,MU_NA_TU,MU,NA,TU
SEQ_01.wav,36,BI_GU_KI,BI,KU,GI
SEQ_01.wav,37,GU-BI-LE,GU,BI,LE
SEQ_01.wav,38,BI_GU_KI,BI,KU,GI
SEQ_01.wav,39,BA_TE_KU,BA,TE,KU
SEQ_01.wav,40,LE_KI_BI,LE,KI,BI
SEQ_01.wav,41,KI_LE_GU,KI,LE,GU
SEQ_01.wav,42,GU-BI-LE,GU,BI,LE
SEQ_01.wav,43,BI_GU_KI,BI,KU,GI
SEQ_01.wav,44,MU_NA_TU,MU,NA,TU
SEQ_01.wav,45,LE_KI_BI,LE,KI,BI
SEQ_01.wav,46,LO_DO_GI,LO,DO,GI
SEQ_01.wav,47,MO_DA_NE,MO,DA,NE
