Filename,WordNum,WordID,Syllable_01,Syllable_02,Syllable_03
SEQ_03.wav,1,LO_DO_GI,LO,DO,GI
SEQ_03.wav,2,BI_GU_KI,BI,KU,GI
SEQ_03.wav,3,MU_NA_TU,MU,NA,TU
SEQ_03.wav,4,LO_DO_GI,LO,DO,GI
SEQ_03.wav,5,BI_GU_KI,BI,KU,GI
SEQ_03.wav,6,MO_DA_NE,MO,DA,NE
SEQ_03.wav,7,KI_LE_GU,KI,LE,GU
SEQ_03.wav,8,GU-BI-LE,GU,BI,LE
SEQ_03.wav,9,MO_DA_NE,MO,DA,NE
SEQ_03.wav,10,MU_NA_TU,MU,NA,TU
SEQ_03.wav,11,LO_DO_GI,LO,DO,GI
SEQ_03.wav,12,KI_LE_GU,KI,LE,GU
SEQ_03.wav,13,LO_DO_GI,LO,DO,GI
SEQ_03.wav,14,MO_DA_NE,MO,DA,NE
SEQ_03.wav,15,BI_GU_KI,BI,KU,GI
SEQ_03.wav,16,KI_LE_GU,KI,LE,GU
SEQ_03.wav,17,BA_TE_KU,BA,TE,KU
SEQ_03.wav,18,LO_DO_GI,LO,DO,GI
SEQ_03.wav,19,LE_KI_BI,LE,KI,BI
SEQ_03.wav,20,BA_TE_KU,BA,TE,KU
SEQ_03.wav,21,LE_KI_BI,LE,KI,BI
SEQ_03.wav,22,LO_DO_GI,LO,DO,GI
SEQ_03.wav,23,LE_KI_BI,LE,KI,BI
SEQ_03.wav,24,BA_TE_KU,BA,TE,KU
SEQ_03.wav,25,LO_DO_GI,LO,DO,GI
SEQ_03.wav,26,MO_DA_NE,MO,DA,NE
SEQ_03.wav,27,GU-BI-LE,GU,BI,LE
SEQ_03.wav,28,MO_DA_NE,MO,DA,NE
SEQ_03.wav,29,BA_TE_KU,BA,TE,KU
SEQ_03.wav,30,KI_LE_GU,KI,LE,GU
SEQ_03.wav,31,GU-BI-LE,GU,BI,LE
SEQ_03.wav,32,MU_NA_TU,MU,NA,TU
SEQ_03.wav,33,GU-BI-LE,GU,BI,LE
SEQ_03.wav,34,LE_KI_BI,LE,KI,BI
SEQ_03.wav,35,GU-BI-LE,GU,BI,LE
SEQ_03.wav,36,BA_TE_KU,BA,TE,KU
SEQ_03.wav,37,GU-BI-LE,GU,BI,LE
SEQ_03.wav,38,LE_KI_BI,LE,KI,BI
SEQ_03.wav,39,BA_TE_KU,BA,TE,KU
SEQ_03.wav,40,GU-BI-LE,GU,BI,LE
SEQ_03.wav,41,LO_DO_GI,LO,DO,GI
SEQ_03.wav,42,MO_DA_NE,MO,DA,NE
SEQ_03.wav,43,LE_KI_BI,LE,KI,BI
SEQ_03.wav,44,BA_TE_KU,BA,TE,KU
SEQ_03.wav,45,BI_GU_KI,BI,KU,GI
SEQ_03.wav,46,KI_LE_GU,KI,LE,GU
SEQ_03.wav,47,MO_DA_NE,MO,DA,NE
SEQ_03.wav,48,BA_TE_KU,BA,TE,KU
SEQ_03.wav,49,LO_DO_GI,LO,DO,GI
SEQ_03.wav,50,LE_KI_BI,LE,KI,BI
SEQ_03.wav,51,KI_LE_GU,KI,LE,GU
SEQ_03.wav,52,BI_GU_KI,BI,KU,GI
SEQ_03.wav,53,LO_DO_GI,LO,DO,GI
SEQ_03.wav,54,BI_GU_KI,BI,KU,GI
SEQ_03.wav,55,LE_KI_BI,LE,KI,BI
SEQ_03.wav,56,MO_DA_NE,MO,DA,NE
SEQ_03.wav,57,KI_LE_GU,KI,LE,GU
SEQ_03.wav,58,LO_DO_GI,LO,DO,GI
